time (s),v("/A0" ?result "tran") (V)
5.068E-9,683.0E-3
5.073E-9,731.0E-3
5.077E-9,768.3E-3
5.081E-9,811.3E-3
5.086E-9,863.3E-3
5.091E-9,908.6E-3
5.095E-9,952.9E-3
5.100E-9,1.000
5.100E-9,1.000
5.100E-9,1.000
5.101E-9,1.000
5.101E-9,1.000
5.101E-9,1.000
5.102E-9,1.000
5.104E-9,1.000
5.107E-9,1.000
5.113E-9,1.000
5.120E-9,1.000
5.128E-9,1.000
5.138E-9,1.000
5.151E-9,1.000
5.168E-9,1.000
5.185E-9,1.000
5.201E-9,1.000
5.216E-9,1.000
5.234E-9,1.000
5.258E-9,1.000
5.295E-9,1.000
5.350E-9,1.000
5.419E-9,1.000
5.511E-9,1.000
5.631E-9,1.000
5.796E-9,1.000
6.018E-9,1.000
6.204E-9,1.000
6.420E-9,1.000
6.504E-9,1.000
6.673E-9,1.000
6.869E-9,1.000
7.184E-9,1.000
7.500E-9,1.000
7.500E-9,1.000
7.501E-9,1.000
7.501E-9,1.000
7.502E-9,1.000
7.504E-9,1.000
7.508E-9,1.000
7.514E-9,1.000
7.522E-9,1.000
7.526E-9,1.000
7.529E-9,1.000
7.533E-9,1.000
7.536E-9,1.000
7.539E-9,1.000
7.542E-9,1.000
7.543E-9,1.000
7.545E-9,1.000
7.547E-9,1.000
7.548E-9,1.000
7.550E-9,1.000
7.550E-9,1.000
7.550E-9,1.000
7.550E-9,1.000
7.550E-9,1.000
7.550E-9,1.000
7.551E-9,1.000
7.551E-9,1.000
7.552E-9,1.000
7.554E-9,1.000
7.557E-9,1.000
7.560E-9,1.000
7.564E-9,1.000
7.569E-9,1.000
7.572E-9,1.000
7.576E-9,1.000
7.580E-9,1.000
7.584E-9,1.000
7.590E-9,1.000
7.596E-9,1.000
7.601E-9,1.000
7.607E-9,1.000
7.612E-9,1.000
7.614E-9,1.000
7.618E-9,1.000
7.621E-9,1.000
7.624E-9,1.000
7.625E-9,1.000
7.627E-9,1.000
7.631E-9,1.000
7.636E-9,1.000
7.641E-9,1.000
7.647E-9,1.000
7.654E-9,1.000
7.660E-9,1.000
7.666E-9,1.000
7.670E-9,1.000
7.673E-9,1.000
7.677E-9,1.000
7.681E-9,1.000
7.686E-9,1.000
7.692E-9,1.000
7.697E-9,1.000
7.701E-9,1.000
7.704E-9,1.000
7.707E-9,1.000
7.709E-9,1.000
7.712E-9,1.000
7.714E-9,1.000
7.718E-9,1.000
7.721E-9,1.000
7.726E-9,1.000
7.728E-9,1.000
7.731E-9,1.000
7.734E-9,1.000
7.736E-9,1.000
7.740E-9,1.000
7.743E-9,1.000
7.746E-9,1.000
7.751E-9,1.000
7.757E-9,1.000
7.765E-9,1.000
7.774E-9,1.000
7.788E-9,1.000
7.809E-9,1.000
7.849E-9,1.000
7.929E-9,1.000
8.064E-9,1.000
8.235E-9,1.000
8.459E-9,1.000
8.757E-9,1.000
9.171E-9,1.000
9.585E-9,1.000
10.00E-9,1.000
10.00E-9,999.5E-3
10.00E-9,998.5E-3
10.00E-9,996.6E-3
10.00E-9,993.1E-3
10.00E-9,988.4E-3
10.00E-9,978.9E-3
10.00E-9,960.0E-3
10.01E-9,932.3E-3
10.01E-9,894.2E-3
10.02E-9,840.7E-3
10.02E-9,765.8E-3
10.03E-9,676.2E-3
10.04E-9,600.1E-3
10.05E-9,545.4E-3
10.05E-9,500.0E-3
10.05E-9,499.2E-3
10.05E-9,497.5E-3
10.05E-9,494.2E-3
10.05E-9,489.1E-3
10.05E-9,486.8E-3
10.05E-9,482.4E-3
10.05E-9,473.5E-3
10.05E-9,469.0E-3
10.05E-9,460.1E-3
10.06E-9,442.3E-3
10.06E-9,414.0E-3
10.06E-9,384.9E-3
10.06E-9,354.2E-3
10.07E-9,320.3E-3
10.07E-9,277.2E-3
10.08E-9,242.1E-3
10.08E-9,203.4E-3
10.08E-9,157.5E-3
10.09E-9,107.1E-3
10.09E-9,66.99E-3
10.10E-9,7.661E-15
10.10E-9,0.000
10.10E-9,0.000
10.10E-9,0.000
10.10E-9,0.000
10.10E-9,0.000
10.11E-9,0.000
10.11E-9,0.000
10.12E-9,0.000
10.13E-9,0.000
10.14E-9,0.000
10.15E-9,0.000
10.16E-9,0.000
10.17E-9,0.000
10.18E-9,0.000
10.19E-9,0.000
10.20E-9,0.000
10.20E-9,0.000
10.20E-9,0.000
10.20E-9,0.000
10.20E-9,0.000
10.20E-9,0.000
10.20E-9,0.000
10.21E-9,0.000
10.21E-9,0.000
10.22E-9,0.000
10.23E-9,0.000
10.25E-9,0.000
10.26E-9,0.000
10.28E-9,0.000
10.29E-9,0.000
10.31E-9,0.000
10.34E-9,0.000
10.37E-9,0.000
10.42E-9,0.000
10.48E-9,0.000
10.57E-9,0.000
10.68E-9,0.000
10.83E-9,0.000
11.01E-9,0.000
11.19E-9,0.000
11.40E-9,0.000
11.49E-9,0.000
11.68E-9,0.000
11.87E-9,0.000
12.25E-9,0.000
12.50E-9,0.000
12.50E-9,0.000
12.50E-9,0.000
12.50E-9,0.000
12.50E-9,0.000
12.50E-9,0.000
12.51E-9,0.000
12.51E-9,0.000
12.52E-9,0.000
12.53E-9,0.000
12.53E-9,0.000
12.53E-9,0.000
